"","TeamID","Name","Week","Team.x","Opp","Score","PlayerCompletions","PlayerPassingAttempts","PlayerPassingYds","PlayerPassingTDs","PlayerInterceptions","PlayerSacked","FUM.x","PlayerPassRating","Oppt.x","PlayerRushingAttempts","PlayerRushingYds","Avg","PlayerRushingTDs","PlayerReceptions","PlayerReceivingYds","PlayerReceivingTDs","FG.Made","FG.Att","XP.Made","XP.Att","Pts","Year","GID","Pos","Team.y","h.a","Oppt.y","FD.points","FD.salary","TeamID.y","Team","RunDRk","RushingGamesPlayed","RusingPointsperGameGAllowed","TotalRushingPointsAllowed","TotalRushAttemptsAgainst","RushAttemptsAgainstPerGame","RushYdsAllowed","AverageYardsPerCarryAllowed","RushingYardsPerGameAllowed","RushingTDAllowed","LongestRunAllowed","FirstDownsAllowed","FirstDownPercentageAllowed","20yardsRunOrLongerAllowed","40yardsRunOrLongerAllowed","FumblesCaused","PassDRk","PassingGamesPlayed","PassingPointsperGameGAllowed","TotalPassingPointsAllowed","CompletionsAllowed","TotalPassAttemptsAgainst","CompletionPercentageAllowed","PassAttemptsAgainstPerGame","PassingYdsAllowed","AverageYardsPerPassAllowed","PassingYardsPerGameAllowed","PassingTDAllowed","Interceptions","PassingFirstDownsAllowed","PassingFirstDownPercentageAllowed","LongestPassAllowed","20yardsPassOrLongerAllowed","40yardsPassOrLongerAllowed","Sacs","PassDefenseRating","Rk","G","Pts.G","TotPts","Scrm.Plys","Yds.G","Yds.P","X1st.G","X3rd.Md","X3rd.Att","X3rd.Pct","X4th.Md","X4th.Att","X4th.Pct","Pen","Pen.Yds","ToP.G","FUM.y","Lost"
"1",1,"Carpenter, Dan",3,"buf","vs ARI","W  33-18",0,0,0,0,0,0,0,0,"ari",0,0,0,0,0,0,0,2,2,3,4,9,2016,6163,"K","BUF","t","la","7.5","4600",17,1,20,4,20,80,107,26.8,440,4.1,110,4,19,24,22.4,4,1,5,7,4,20,80,83,140,59.3,35,26,6.4,203.5,4,5,40,28.6,17,12,1,11,72.7,8,4,20,80,258,313.5,4.9,17,25,56,45,0,2,0,31,267,12,8,4
"2",1,"Gillislee, Mike",3,"buf","vs ARI","W  33-18",0,0,0,0,0,0,0,0,"ari",3,20,6.7,0,0,0,0,0,0,0,0,0,2016,2894,"RB","BUF","t","la","3.79999995231628","4800",17,1,20,4,20,80,107,26.8,440,4.1,110,4,19,24,22.4,4,1,5,7,4,20,80,83,140,59.3,35,26,6.4,203.5,4,5,40,28.6,17,12,1,11,72.7,8,4,20,80,258,313.5,4.9,17,25,56,45,0,2,0,31,267,12,8,4
"3",1,"Goodwin, Marquise",3,"buf","vs ARI","W  33-18",0,0,0,0,0,0,0,0,"ari",0,0,6,0,1,6,0,0,0,0,0,0,2016,5205,"WR","BUF","t","la","7","5500",17,1,20,4,20,80,107,26.8,440,4.1,110,4,19,24,22.4,4,1,5,7,4,20,80,83,140,59.3,35,26,6.4,203.5,4,5,40,28.6,17,12,1,11,72.7,8,4,20,80,258,313.5,4.9,17,25,56,45,0,2,0,31,267,12,8,4
"4",1,"O'Leary, Nick",3,"buf","vs ARI","W  33-18",0,0,0,0,0,0,0,0,"ari",0,0,28,0,1,28,0,0,0,0,0,0,2016,4661,"TE","BUF","t","la","2.10000006357829","4500",17,1,20,4,20,80,107,26.8,440,4.1,110,4,19,24,22.4,4,1,5,7,4,20,80,83,140,59.3,35,26,6.4,203.5,4,5,40,28.6,17,12,1,11,72.7,8,4,20,80,258,313.5,4.9,17,25,56,45,0,2,0,31,267,12,8,4
"5",1,"Taylor, Tyrod",3,"buf","vs ARI","W  33-18",14,25,119,0,1,4,0,51.9,"ari",0,0,0,0,0,0,0,0,0,0,0,0,2016,1400,"QB","BUF","t","la","16.2299995422363","7600",17,1,20,4,20,80,107,26.8,440,4.1,110,4,19,24,22.4,4,1,5,7,4,20,80,83,140,59.3,35,26,6.4,203.5,4,5,40,28.6,17,12,1,11,72.7,8,4,20,80,258,313.5,4.9,17,25,56,45,0,2,0,31,267,12,8,4
"6",1,"Taylor, Tyrod",3,"buf","vs ARI","W  33-18",0,0,0,0,0,0,0,0,"ari",9,76,8.4,1,0,0,0,0,0,0,0,0,2016,1400,"QB","BUF","t","la","16.2299995422363","7600",17,1,20,4,20,80,107,26.8,440,4.1,110,4,19,24,22.4,4,1,5,7,4,20,80,83,140,59.3,35,26,6.4,203.5,4,5,40,28.6,17,12,1,11,72.7,8,4,20,80,258,313.5,4.9,17,25,56,45,0,2,0,31,267,12,8,4
"7",1,"Woods, Robert",3,"buf","vs ARI","W  33-18",0,0,0,0,0,0,0,0,"ari",0,0,8.5,0,6,51,0,0,0,0,0,0,2016,5217,"WR","BUF","t","la","6.5","5300",17,1,20,4,20,80,107,26.8,440,4.1,110,4,19,24,22.4,4,1,5,7,4,20,80,83,140,59.3,35,26,6.4,203.5,4,5,40,28.6,17,12,1,11,72.7,8,4,20,80,258,313.5,4.9,17,25,56,45,0,2,0,31,267,12,8,4
"8",6,"Beasley, Cole",3,"dal","vs CHI","W  31-17",0,0,0,0,0,0,0,0,"chi",0,0,10.4,0,7,73,0,0,0,0,0,0,2016,5163,"WR","DAL","t","cin","10.0249996185303","5500",7,6,26,4,24.2,97,126,31.5,494,3.9,123.5,5,11,31,24.6,2,0,1,8,4,24.2,97,85,129,65.9,32.2,27,6.8,210,4,3,43,33.3,5,9,1,6,86.1,10,4,24.2,97,261,333.5,5.1,19.8,24,58,41,4,4,100,25,224,28,2,1
"9",6,"Butler, Brice",3,"dal","vs CHI","W  31-17",0,0,0,0,0,0,0,0,"chi",0,0,0,0,0,0,0,0,0,0,0,0,2016,5219,"WR","DAL","t","cin","3.67499995231628","5100",7,6,26,4,24.2,97,126,31.5,494,3.9,123.5,5,11,31,24.6,2,0,1,8,4,24.2,97,85,129,65.9,32.2,27,6.8,210,4,3,43,33.3,5,9,1,6,86.1,10,4,24.2,97,261,333.5,5.1,19.8,24,58,41,4,4,100,25,224,28,2,1
"10",6,"Elliott, Ezekiel",3,"dal","vs CHI","W  31-17",0,0,0,0,0,0,0,0,"chi",30,140,4.7,0,0,0,0,0,0,0,0,0,2016,5444,"RB","DAL","t","cin","16.1499996185303","7900",7,6,26,4,24.2,97,126,31.5,494,3.9,123.5,5,11,31,24.6,2,0,1,8,4,24.2,97,85,129,65.9,32.2,27,6.8,210,4,3,43,33.3,5,9,1,6,86.1,10,4,24.2,97,261,333.5,5.1,19.8,24,58,41,4,4,100,25,224,28,2,1
"11",6,"Elliott, Ezekiel",3,"dal","vs CHI","W  31-17",0,0,0,0,0,0,0,0,"chi",0,0,10,0,2,20,0,0,0,0,0,0,2016,5444,"RB","DAL","t","cin","16.1499996185303","7900",7,6,26,4,24.2,97,126,31.5,494,3.9,123.5,5,11,31,24.6,2,0,1,8,4,24.2,97,85,129,65.9,32.2,27,6.8,210,4,3,43,33.3,5,9,1,6,86.1,10,4,24.2,97,261,333.5,5.1,19.8,24,58,41,4,4,100,25,224,28,2,1
"12",6,"Morris, Alfred",3,"dal","vs CHI","W  31-17",0,0,0,0,0,0,0,0,"chi",5,19,3.8,1,0,0,0,0,0,0,0,0,2016,2871,"RB","DAL","t","cin","5.55000019073486","5100",7,6,26,4,24.2,97,126,31.5,494,3.9,123.5,5,11,31,24.6,2,0,1,8,4,24.2,97,85,129,65.9,32.2,27,6.8,210,4,3,43,33.3,5,9,1,6,86.1,10,4,24.2,97,261,333.5,5.1,19.8,24,58,41,4,4,100,25,224,28,2,1
