Rk	Team	G	Pts/G	TotPts	Comp	Att	Pct	Att/G	Yds	Avg	Yds/G	TD	Int	1st	1st%	Lng	20+	40+	Sck	Rate
1	Denver Broncos	16	18.5	296	344	573	60.0	35.8	3,193	6.2	199.6	19	14	162	28.3	80T	41	5	52	78.8
2	Seattle Seahawks	16	17.3	277	333	548	60.8	34.2	3,364	6.6	210.2	14	14	175	31.9	69T	49	5	37	78.1
3	Houston Texans	16	19.6	313	326	553	59.0	34.6	3,366	6.6	210.4	24	14	173	31.3	55	48	12	45	82.8
4	Chicago Bears	16	24.8	397	322	512	62.9	32.0	3,593	7.5	224.6	31	8	182	35.5	71T	52	10	35	99.3
5	Dallas Cowboys	16	23.4	374	330	506	65.2	31.6	3,632	7.6	227.0	19	8	172	34.0	80T	54	10	31	94.2
6	Green Bay Packers	16	20.2	323	321	551	58.3	34.4	3,642	7.1	227.6	20	16	183	33.2	68	46	14	43	80.1
7	Tennessee Titans	16	26.4	423	319	502	63.5	31.4	3,678	7.9	229.9	34	11	192	38.2	69T	47	12	39	101.3
8	Arizona Cardinals	16	19.6	313	343	573	59.9	35.8	3,687	6.9	230.4	24	19	177	30.9	88T	56	14	36	80.9
9	Kansas City Chiefs	16	17.9	287	349	607	57.5	37.9	3,698	6.6	231.1	25	22	193	31.8	55T	46	9	47	76.0
10	Baltimore Ravens	16	25.1	401	350	545	64.2	34.1	3,737	7.3	233.6	30	6	189	34.7	80T	51	10	37	99.6
11	Carolina Panthers	16	19.2	308	390	650	60.0	40.6	3,752	6.2	234.5	21	24	198	30.5	70T	53	10	44	73.5
12	Minnesota Vikings	16	18.9	302	359	561	64.0	35.1	3,759	7.2	234.9	24	13	189	33.7	72T	47	10	43	90.0
13	New York Jets	16	19.6	314	343	601	57.1	37.6	3,763	6.7	235.2	25	18	185	30.8	72T	59	11	39	79.0
14	Detroit Lions	16	25	400	360	528	68.2	33.0	3,786	7.7	236.6	27	9	191	36.2	61T	59	11	43	100.9
14	San Diego Chargers	16	24.9	398	328	510	64.3	31.9	3,786	7.9	236.6	22	11	170	33.3	72T	54	12	32	93.8
16	Tampa Bay Buccaneers	16	26.1	417	378	540	70.0	33.8	3,840	7.5	240.0	31	11	208	38.5	60T	45	5	38	102.5
17	New England Patriots	16	19.7	315	361	596	60.6	37.2	3,851	7.1	240.7	24	12	204	34.2	87T	57	9	49	87.0
18	Atlanta Falcons	16	21.6	345	370	561	66.0	35.1	3,882	7.1	242.6	19	15	197	35.1	74T	50	5	19	86.9
19	Buffalo Bills	16	22.4	359	347	602	57.6	37.6	3,972	6.8	248.2	30	17	197	32.7	77T	59	11	21	83.3
20	Cincinnati Bengals	16	17.4	279	415	646	64.2	40.4	3,976	6.6	248.5	18	21	202	31.3	64T	39	6	42	78.9
21	Miami Dolphins	16	24.3	389	350	542	64.6	33.9	4,000	7.8	250.0	31	13	203	37.5	84T	53	13	31	97.4
22	Cleveland Browns	16	27	432	322	511	63.0	31.9	4,012	8.2	250.8	34	11	186	36.4	75T	52	16	29	101.8
23	St. Louis Rams	16	20.6	330	399	597	66.8	37.3	4,065	7.2	254.1	21	13	192	32.2	87T	51	8	41	90.4
24	Indianapolis Colts	16	25.5	408	354	585	60.5	36.6	4,114	7.5	257.1	29	17	210	35.9	80T	64	12	35	88.0
25	Washington Redskins	16	23.7	379	354	566	62.5	35.4	4,128	7.8	258.0	30	11	202	35.7	62T	58	12	38	96.1
26	Oakland Raiders	16	24.9	399	404	641	63.0	40.1	4,140	6.8	258.8	25	14	206	32.1	59	56	7	38	86.8
27	San Francisco 49ers	16	24.2	387	375	549	68.3	34.3	4,179	8.0	261.2	21	9	199	36.2	66T	58	13	28	98.1
28	Philadelphia Eagles	16	26.9	430	394	633	62.2	39.6	4,273	7.1	267.1	36	15	239	37.8	59	55	9	37	92.8
29	Jacksonville Jaguars	16	28	448	390	602	64.8	37.6	4,291	7.5	268.2	29	9	222	36.9	71T	54	10	36	97.2
30	Pittsburgh Steelers	16	19.9	319	402	625	64.3	39.1	4,350	7.5	271.9	29	17	231	37.0	80T	52	12	48	90.9
31	New Orleans Saints	16	29.8	476	372	544	68.4	34.0	4,544	8.7	284.0	45	9	223	41.0	90T	64	17	31	116.2
32	New York Giants	16	27.6	442	423	638	66.3	39.9	4,783	7.7	298.9	31	15	236	37.0	76T	62	11	23	95.9
